naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","288","202","86","*"
"2111"," Oil and gas extraction","98","55","43","*"
"2122"," Metal ore mining","58","47","11","0"
"213111-213112"," Oil and gas well drilling and support","104","77","27","0"
"213114"," Support activities for metal mining","3","2","1","0"
""," Other","24","21","3","0"
"22-23"," Utilities and construction","624","369","252","3"
"2211"," Electric power generation and distribution","396","210","183","2"
"2212"," Natural gas distribution","122","76","46","*"
"2213"," Water, sewage, and other systems","18","13","5","0"
"23"," Construction","87","69","17","*"
"31"," Consumer goods manufacturing","559","377","181","1"
"311"," Food manufacturing","153","89","63","1"
"3121"," Beverage manufacturing","228","159","68","*"
"3122"," Tobacco product manufacturing","82","47","35","0"
""," Other","96","82","14","*"
"325"," Chemical manufacturing","1,311","1,059","246","5"
"3254"," Pharmaceutical and medicine manufacturing","981","805","175","1"
""," Other","330","255","71","4"
"326-333"," Other primary and machinery manufacturing","428","354","74","*"
"331"," Primary metal manufacturing","49","39","10","0"
"333"," Machinery manufacturing","270","238","31","*"
""," Other","110","77","33","*"
"334-335"," Computer and electronic product manufacturing","2,980","2,772","207","2"
"3341"," Computer and peripheral equipment manufacturing","943","863","79","1"
"3342"," Communications equipment manufacturing","87","72","14","*"
"3344"," Semiconductor and other electronic component mfg.","1,542","1,475","67","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","332","296","36","*"
"335"," Electrical equipment, appliance, and component mfg.","75","63","12","0"
""," Other","2","2","*","0"
"336-339"," All other manufacturing","696","584","111","1"
"3361"," Motor vehicle manufacturing","208","190","18","0"
"3363"," Motor vehicle parts manufacturing","24","18","6","*"
"3364"," Aircraft manufacturing","149","106","43","*"
"3365-3369"," Rail, ship, and other transportation manufacturing","15","13","2","*"
"3391"," Medical equipment and supplies manufacturing","244","215","28","*"
""," Other","57","43","14","*"
"42"," Wholesale trade","271","202","69","1"
"423"," Merchant wholesalers, durable goods","124","98","27","*"
"424-425"," Merchant wholesalers, nondurable goods","147","104","42","1"
"44-45"," Retail trade","1,145","985","159","1"
"445"," Food and beverage stores","26","17","9","*"
""," Other","1,119","968","150","1"
"48-49"," Transportation and cargo","313","205","108","*"
"481"," Air transportation","25","17","8","0"
"482"," Rail transportation","86","60","26","*"
"483"," Water transportation","3","2","*","0"
"486"," Pipeline transportation","52","13","39","0"
"488"," Support activities for transportation","20","13","7","0"
""," Other","127","99","28","0"
"511-516"," Publishing and broadcasting","1,855","1,632","223","*"
"512"," Motion picture and sound recording industries","88","64","24","0"
"513"," Publishing","1,508","1,420","88","*"
"516"," Broadcasting","260","149","112","*"
"517-519"," Telecommunications and information services","1,338","1,137","201","*"
"5171"," Wired telecommunications carriers","277","110","167","*"
"519"," Other information services","930","916","14","0"
""," Other","132","111","20","*"
"5221"," Depository credit intermediation (banking)","266","16","134","116"
"5222-5239"," Other financial","3,863","1,702","2,142","19"
"522292"," Real estate credit","1,307","1","1,306","*"
"52239"," Other credit intermed","359","1","358","*"
"5231"," Inv. banking","251","92","154","5"
""," Other","1,946","1,608","324","14"
"524"," Insurance","794","588","199","7"
"525"," Funds, trusts, and other financial vehicles","3,075","3,004","67","4"
"53-81"," Services","2,453","1,469","961","24"
"531"," Real estate rental and leasing","138","24","110","4"
"5413"," Architectural, engineering, and related services","30","24","6","*"
"5415"," Computer systems design and related services","396","343","53","0"
"5416"," Management, scientific, and technical consulting services","28","15","12","1"
"5511"," Offices of bank and other holding companies","864","401","459","4"
"561"," Administrative and support services","383","239","130","14"
"61-62"," Education, health care, and social services","137","73","64","*"
"71"," Arts, entertainment, and recreation","31","22","8","1"
"72"," Accommodation and food services","216","162","54","*"
""," Other","230","166","64","*"
"92","Government$^{b}$","8,237","*","7,136","1,100"
""," Industry classification unknown","252","45","180","27"
""," All other industries","271","209","59","4"
""," Total","31,019","16,908","12,796","1,315"
