"Table A9.  Foreign Holdings of U.S. Long-Term Asset-Backed Securities, by Country and"
"Security Type, as of June 30, 2021"
"Millions of dollars"
"","Total","Agency","","Corporate ABS"
"Countries and Regions","LT ABS","ABS","Total","MBS","NonMBS"
"Andorra","*",0,"*","*","*"
"Antigua and Barbuda","*","*","*",0,"*"
"Argentina",19,18,1,"*",1
"Aruba",381,136,245,1,244
"Australia",12182,4469,7713,5911,1802
"Austria",532,507,24,5,19
"Bahamas",13810,11781,2029,1968,61
"Bahrain",10,2,8,4,4
"Barbados",3863,369,3493,2040,1454
"Belgium",14467,5997,8469,2829,5640
"Belize",3,1,2,0,2
"Bermuda",44338,21740,22598,15378,7221
"Bolivia",1,1,"*","*","*"
"Botswana",103,43,60,49,11
"Brazil",7,1,6,"*",6
"British Virgin Islands",2962,1184,1778,1274,505
"Brunei",85,0,85,25,60
"Bulgaria",1,1,0,0,0
"Canada",108516,80181,28335,21348,6987
"Cayman Islands",139446,28860,110586,89961,20625
"Chile",332,325,7,"*",7
"China, mainland",217250,212726,4524,3271,1253
"Colombia",643,617,26,8,17
"Cook Islands",4,0,4,0,4
"Costa Rica",5,3,1,"*",1
"Curacao",28,18,10,8,3
"Cyprus","*","*","*",0,"*"
"Czech Republic",1712,1712,"*","*","*"
"Denmark",570,213,357,95,262
"Dominican Republic",4,2,2,1,1
"Ecuador",7,7,"*","*","*"
"Egypt","*","*",0,0,0
"El Salvador",4,4,"*","*","*"
"Estonia",8,8,"*","*",0
"Federated States of Micronesia",12,12,0,0,0
"Finland",6,"*",6,0,6
"France",24687,13779,10908,6241,4667
"French Polynesia","*","*",0,0,0
"Germany",13539,4848,8691,867,7823
"Greece",1,1,"*",0,"*"
"Grenada","*","*",0,0,0
"Guatemala",1911,1905,6,2,4
"Guernsey",117,41,77,17,60
"Guyana","*","*","*",0,"*"
"Haiti",2,"*",2,0,2
"Honduras",1,1,"*","*","*"
"Hong Kong",9385,7029,2356,1131,1224
"Hungary",2118,2118,0,0,0
"India",135,132,3,3,"*"
"Indonesia",5865,5782,83,10,73
"Ireland",64625,17610,47015,40268,6748
"Isle of Man",1,"*",1,0,1
"Israel",3969,3757,213,164,48
"Italy",819,509,311,35,275
"Japan",332221,308903,23318,7576,15741
"Jersey",1023,479,544,454,90
"Kazakhstan","*","*",0,0,0
"Korea, South",44266,39750,4517,3030,1487
"Kuwait",7133,4362,2772,1634,1137
"Latvia",1462,1115,348,17,331
"Lebanon","*","*",0,0,0
"Liberia","*","*",0,0,0
"Liechtenstein",1,"*",1,0,1
"Lithuania",204,204,0,0,0
"Luxembourg",67790,32534,35256,18551,16705
"Macau",355,266,88,42,46
"Malaysia",18559,18510,49,13,36
"Malta",4,"*",4,0,4
"Marshall Islands",51,11,40,1,38
"Mauritius",4,1,3,3,1
"Mexico",6264,6212,52,5,47
"Monaco",183,9,174,140,34
"Netherlands",18783,16513,2270,1725,545
"New Zealand",1024,811,213,131,82
"Nigeria",225,222,3,2,1
"Norway",390,"*",390,246,144
"Oman",27,10,17,10,7
"Palau",6,6,"*",0,"*"
"Panama",1231,923,307,224,83
"Paraguay","*","*","*",0,"*"
"Peru",138,137,1,"*",1
"Philippines",723,723,"*","*","*"
"Poland","*","*",0,0,0
"Portugal",1,"*",1,0,1
"Qatar",395,238,157,97,60
"Russia","*",0,"*","*","*"
"Saint Kitts and Nevis",55,18,37,31,7
"Saint Lucia","*",0,"*",0,"*"
"Saint Vincent and the Grenadines","*",0,"*",0,"*"
"Saudi Arabia",2393,1127,1267,598,668
"Seychelles",1,1,"*",0,"*"
"Singapore",13896,3688,10208,3364,6844
"Sint Maarten",2,2,"*",0,"*"
"South Africa",602,601,"*",0,"*"
"Spain",4098,3842,256,3,253
"Suriname","*","*","*",0,"*"
"Sweden",245,105,141,"*",140
"Switzerland",25579,22536,3043,1977,1066
"Taiwan",245166,242944,2222,1577,645
"Thailand",10056,10051,4,4,"*"
"Trinidad and Tobago",1036,514,523,88,435
"Turks and Caicos Islands",31,28,3,1,2
"Uganda",71,43,28,23,5
"United Arab Emirates",1346,1027,320,312,8
"United Kingdom",60378,36789,23589,10810,12779
"Uruguay",305,303,2,"*",2
"Venezuela",16,14,2,1,1
"Vietnam","*","*",0,0,0
"International and regional organizations",5878,3724,2154,157,1997
"Country Unknown",2,1,1,"*","*"
""
"Total",1562108,1187747,374361,245764,128597
""
"of which: Holdings of foreign official"
"institutions",644724,625836,18888,8487,10401
""
"Totals by Region:"
"Total Africa",1006,911,95,76,19
"Total Asia",913236,861026,52210,22867,29342
"Total Caribbean",205958,64651,141307,110748,30559
"Total Europe",303347,161471,141877,84281,57596
"Total Latin America",10886,10472,414,242,172
"Canada",108516,80181,28335,21348,6987
"Australia/Oceania",13280,5310,7970,6044,1926
"Country Unknown",2,1,1,"*","*"
"International and regional organizations",5878,3724,2154,157,1997
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
